kana,kanji,english
seito,生徒,pupil student schoolchild
isogashii,忙しい,busy
ryoushin,両親,parents
oyogu,泳ぐ,to swim
dasu,出す,to take out
tatsu,立つ,to stand rise
hayai,早い,early fast quick
tanoshii,楽しい,fun enjoyable pleasant
omoshiroi,面白い,funny interesting
e,絵,painting drawing
annanoko,女の子,girl daughter baby girl
kiru,着る,to wear
jouzu,上手,skillful skilled good at
furui,古い,old aged
tsuyoi,強い,strong competent powerful
zenbu,全部,all entire whole
yobu,呼ぶ,to call
gogo,午後,pm afternoon
kakeru,掛ける,to hang up post to put on to make
jisho,辞書,dictionary
tenki,天気,weather
karada,体,body
ookii,大きい,big large great
yuube,夕べ,evening
shitsumon,質問,question inquiry
yuumei,有名,famous
ani,兄,bro
utau,歌う,to sing
noboru,上る,to ascend to go up to climb
tori,鳥,bird
fuku,服,clothes
tokidoki,時々,sometimes occasionally at times time to time
imouto,妹,little younger sister
futatsu,二つ,two
tanomu,頼む,to ask request
kesa,今朝,this morning
otousan,お父さん,father dad
osoi,遅い,late slow
kariru,借りる,to borrow rent
kusuri,薬,medicine
niwa,庭,garden
gaikoku,外国,foreign country
chiisai,小さい,small little tiny
genki,元気,healthy lively
otouto,弟,little younger brother
kotoshi,今年,this year
sakana,魚,fish
okaasan,お母さん,mother mom
otokonoko,男の子,boy son baby boy
tobu,飛ぶ,to fly soar
uru,売る,to sell
shizuka,静か,quiet silent
yasumu,休む,to rest be absent
tabemono,食べ物,food
taisetsu,大切,important
raishuu,来週,next week
keikan,警官,police officer policeman
tatemono,建物,building
atatakai,暖かい,warm mild
oriru,降りる,to get off come down descend
tomaru,止まる,to stop
isshoni,一緒,together at the same time
senshuu,先週,last week
shiroi,白い,white
ni,二,two 3
sukunai,少ない,little few scarce
akai,赤い,red
arau,洗う,to wash
kirai,嫌い,disliked hated disagreeable
rippa,立派,splendid fine elegant
hima,暇,spare free time
ocha,お茶,tea
hiroi,広い,wide spacious vast
kyonen,去年,last year
tonari,隣,beside side next to
daisuki,大好き,love loveable likeable
onna,女,woman female
kiru,切る,to cut sever
tabun,多分,probably perhaps
maiasa,毎朝,every morning
iya,嫌,disagreeable detestable unpleasant
nimotsu,荷物,baggage luggage package
bangou,番号,number
kaesu,返す,to return restore
rainen,来年,next year
akarui,明るい,bright light well lit
chikai,近い,close near close short
mukou,向こう,over there opposite side
hajime,始め,beginning start outset
itai,痛い,painful sore
yasumi,休み,vacation rest recess
renshuu,練習,practice training drill
juu,十,ten
uwagi,上着,coat tunic jacket
sengetsu,先月,last month
kekkou,結構です,okay splendid nice wonderful
maitoshi,毎年,every year yearly
kyoudai,兄弟,brothers and sisters
raigetsu,来月,next month
go,五,five 5
nomimono,飲み物,drink beverage
yowai,弱い,weak frail delicate
gyuunyuu,牛乳,milk
daijoubu,大丈夫,okay safe secure certainly
kuroi,黒い,black
minasan,皆さん,everyone everybody all
hanbun,半分,half
osu,押す,to push press
tsutomeru,勤める,to work for be emplyed at
atsui,熱い,hot thing
mittsu,三つ,three 3
kudamono,果物,fruit
konshuu,今週,this week
migi,右,right
amai,甘い,sweet sugary
ban,晩,night evening
ikutsu,いくつ,how many how old
kaidan,階段,stairs staircase stairway
oozei,大勢,in large numbers crowd of people
haru,貼る 張る,to paste
yuugata,夕方,evening dusk
hikui,低い,low short
hidari,左,left
maishuu,毎週,every week
heta,下手,clumsy unskillful poor awkward
sen,千,thousand 1000
watasu,渡す,to ferry across
gozen,午前,am morning
benri,便利,convenient handy useful
marui,丸い,round circular spherical
kongetsu,今月,this month
abiru,浴びる,to shower to be flooded with
han,半,half
youfuku,洋服,western style clothes
toru,撮る,to take a photo or video
shimeru,締める,to tie to wear
bunshou,文章,writing composition essay article sentence
usui,薄い,thin objection pale light faint
yoko,横,horizontal lying down
yottsu,四つ,four 4
hachi,八,eight 8
roku,六,six 6
joubu,丈夫,healthy robust strong solid
maiban,毎晩,every night
higashi,東,east
itsutsu,五つ,five 5
hare,晴れ,sunny
hosoi,細い,thin slender fine
rouka,廊下,corridor hallway passageway
futoi,太い,fat thick
tate,縦,vertical height
ryuugakusei,留学生,overseas student exchange student
kokonotsu,九つ,nine 9
nanatsu,七つ,seven 7
ototoshi,一昨年,year before last
hito,人,person someeone
iru,いる,to be to exist to stay
sore,それ,that
mono,物,thing object article
ie,家,house family household
hon,本,book volume
totemo,とても,very awfully exceedingly
au,会う,to meet encounter
suki,好き,liked like
wakaru,分かる,to understand comprehend
kiku,聞く,to listen hear
tokoro,所,place spot scene
itsumo,いつも,always all the time
kaku,書く,to write
takusan,たくさん,a lot plenty many
hairu,入る,to enter go into
oku,置く,to put place
doko,どこ,where what place
sumu,住む,to live reside
taberu,食べる,to eat
aruku,歩く,to walk
hataraku,働く,to work labor
tsuku,着く,to arrive reach
ue,上,on above up over
warui,悪い,bad poor evil
oshieru,教える,to teach instruct
furu,降る,to fall (rain snow ash)
shinu,死ぬ,to die pass away
kaeru,帰る,to return come home go back
wasureru,忘れる,to forget
ooi,多い,many a lot
dekakeru,出かける,to go out
wakai,若い,young youthful
kakaru,掛かる,to take a resource
onaji,同じ,same identical equal
okiru,起きる,to get up
suwaru,座る,to sit
mise,店,shop store
ireru,入れる,to put in
chotto,ちょっと,a little a bit slightly just a minute
tsukareru,疲れる,to get tired become exhausted
akeru,開ける,to open
naze,なぜ,how why
ichinichi,一日,one day all day
samui,寒い,cold
miseru,見せる,to show display
chigau,違う,different to differ from to vary
doushite,どうして,how in what way why for what reason
tsukeru,付ける,to attach to join to add
oboeru,覚える,to memorize learn
kaze,風,wind breeze
chikaku,近く,near vicinity
komaru,困る,to be troubled to have difficulty
umareru,生まれる,to be born
choudo,ちょうど,exactly precisely
hajimete,初めて,for the first time
hajimaru,始まる,to start begin
kasu,貸す,to rent lend loan
kirei,綺麗,pretty
sora,空,sky the air heavens
iku,弾く,to play a instrument
atsui,暑い,hot warm
asobu,遊ぶ,to play enjoy onself
shikashi,然し,however
nakusu,無くす,to lose
iroiro,色々,various all sorts of
wataru,渡る,to cross
kurai,暗い,dark gloomy
kochira,こちら,this way direction here
omoi,重い,heavy weighty
konban,今晩,this night tonight evening
oishii,美味しい,delicious tasty sweet
kesu,消す,to turn off erase delete
yasashii,優しい 易しい,kind easy plan simple
shimeru,閉める,to close shut
yasui,安い,cheap inexpensive
tooi,遠い,far distant
mijikai,短い,short
magaru,曲がる,to turn bend curve
kieru,消える,to disappear vanish go out
hareru,晴れる,to clear up be sunny stop raining
tsumetai,冷たい,cold chilly icy freezing
aoi,青い,blue
pe-ji,ページ,page
fuku,吹く,to blow
okusan,奥さん,wife
hiku,引く,to pull tug draw
dandan,段々,gradually little by little more and more
narau,習う,to learn study take lessons in
semai,狭い,narrow confined
karui,軽い,light effortless nimble
nugu,脱ぐ,to take off undress
man,万,ten thousand 10000
urusai,煩い,noisy loud
narabu,並ぶ,to line up rival match
suu,吸う,to inhale smoke
tsumaranai,つまらない,dull uninteresting boring
shimaru,閉まる,to close be shut closed
saku,咲く,to bloom flower blossom
massugu,まっすぐ,straight ahead direct upright
ichi,一,one 1
obaasan,お祖母さん,grandmother grandma
suzushii,涼しい,cool refreshing
sochira,そちら,that way direction there
atsui,厚い,thick deep heavy
oniisan,お兄さん,older big brother
oneesan,お姉さん,older big sister
naraberu,並べる,to line to set up
kitanai,汚い,dirty filthy foul
abunai,危ない,dangerous risky perilous
onaka,お腹,stomach belly abdomen
mazui,不味い,bad taste awful terrible
gohan,ご飯,meal cooked rice
kumoru,曇る,to get cloudy cloud over
kiiroi,黄色い,yellow
migaku,磨く,to brush polish shine
okashi,お菓子,sweets candy
nigiyaka,賑やか,bustling busy crowded lively
naku,鳴く,to make sound of an animal to call
yuuhan,夕飯,evening meal
shatsu,シャツ,formal shirt dress shirt
muttsu,六つ,six 6
otearai,お手洗い,bathroom toilet restroom
omawarisan,おまわりさん,police officer
sasu,差す,to shine to be visible
rei,零,zero nought 0
kirome-toru,キロメートル,kilometer km
yattsu,八つ,eight 8
sarainen,再来年,year after next
yoku,よく,nicely properly well frequently often
kotaeru,答える,to answer reply
se,背,back spine
obentou,お弁当,obento box lunch
bangohan,晩ご飯,dinner evening meal
hirugohan,昼ご飯,lunch midday meal
demo,でも,but however though still even so
nado,など,etc and so forth
kurasu,クラス,class
pu-ru,プール,pool
naka,中,in
terebi,テレビ,tv television
ko-hi-,コーヒー,coffee
hoteru,ホテル,hotel
nyu-su,ニュース,news
te-buru,テーブル,tabel
kamera,カメラ,camera
takushi-,タクシー,taxi
supo-tsu,スポーツ,sports sport
rajio,ラジオ,radio
pen,ペン,pen
resutoran,レストラン,restaurant
tesuto,テスト,test quiz examination
beddo,ベッド,bed
pan,パン,bread pastries pan frying pan
naifu,ナイフ,knife
nekutai,ネクタイ,tie necktie
gita-,ギター,guitar
se-ta-,セーター,sweater
me-toru,メートル,meter
apa-to,アパート,apartment building
poketto,ポケット,pocket
bata-,バター,butter
kiro,キロ,kilo
suka-to,スカート,skirt
reko-do,レコード,record
erebe-ta-,エレベーター,elevator lift
zubon,ズボン,trousers pants
posuto,ポスト,postbox mailbox mail box
kopi-,コピー,copy
shawa-,シャワー,shower
hankachi,ハンカチ,handkerchief tissue
ototoi,一昨日,day before yesterday
te-pu,テープ,tape
suto-bu,ストーブ,stove heater
kappu,カップ,cup
te-pureko-da-,テープレコーダー,tape recorder
bo-rupen,ボールペン,ball point pen
supu-n,スプーン,spoon
surippa,スリッパ,slipper slippers
shouyu,醤油,soy sauce
hai,はい,yes that is correct understood I see ok
petto,ペット,pet
suru,する,to do carry out
tsuitachi,一日,first day of the month
mikka,三日,third day of the month three days
itska,五日,fifth day of the month five days
futsuka,二日,second day of the month two days
tooka,十日,tenth day of the month ten days
muika,六日,sixth day of the month six days
youka,八日,eigth day of the month eight days
kokonoka,九日,ninth day of the month nine days
kuru,来る,to come arrive
ato,後,behind rear after later
hitori,一人,one person being alone single
futari,二人,two people pair
chizu,地図,map
soba,そば,near close beside
iie,いいえ,no nay
tsurai karai,辛い,spicy hot salty
mon,門,gate
kado,角,corner edge
shichi,七,seven 7
shi,四,four 4
obasan,おばさん,aunt
osake,お酒,alcohol sake
iriguchi,入口,entrance entry gate
deguchi,出口,exit gateway way out
sara,皿,plate dish
kore,これ,this one person time
mae,前,before in front of
mou,もう,now soon already tsk come on
kata,方,direction way person method of
hoka,他,other the rest
tsugi,次,next following
doa,ドア,door
dochira,どちら,which way one direction where
dareka,誰か,someone somebody
aku,開く,to open
douzo,どうぞ,please kindly by all means
konna,こんな,this sort of this kind of such
shita,下,under below bottom
soshite,そして,and then thus and now
yukkuri,ゆっくり,slowly leisurely
ko-to,コート,coat
saa,さあ,come now who knows i dont know uh hmm
doumo,どうも,thank you thanks greetings
jaa,じゃあ,then well then
koppu,コップ,glass
sorekara,それから,and then after that
ee,ええ,yes that is correct right
no-to,ノート,notebook note
batan,ボタン,button
depa-to,デパート,department store
toire,トイレ,toilet restroom bathroom
soredeha,それでは,well then in that situation case
fo-ku,フォーク,fork
asatte,明後日,day after tomorrow
dore,どれ,which
nurui,温い,lukewarm tepid
hatachi,二十歳,twenty 20 years old
achira,あちら,that way direction over there
deha,では,then well so
firumu,フィルム,film
yokka,四日,fourth day of the month four days
karenda-,カレンダー,calendar
nanoka,七日,seventh day of the month seven days
soushite,そうして,and like that
guramu,グラム,gram
kiroguramu,キログラム,kilogram
suguni,すぐに,immediately right away at once instantly
hitotsuki,一月,one month
ano,あの,say well um
macchi,マッチ,match contest
aki,秋,fall autumn
kare,カレー,curry
san,三,three 3
jigiki,字引,dictionary
san,三,three 3
rajikase,ラジカセ,radio cassette player
ude,腕,arm
ningyou,人形,doll puppet figure
bunka,文化,culture
kaigan,海岸,coast beach
sangyou,産業,industry occupation
doubutsuen,動物園,zoo
bijutsukan,美術館,museum art gallery
suidou,水道,water supply
hikoujou,飛行場,airfield airport
fudou,ふどう,grape grapevine
jiko,事故,accident incident trouble
musuko,息子,son
seikatsu,生活,life living
chuui,注意,attention notice heed warning
josei,女性,female woman
ikiru,生きる,to live exist
fune,船,boat ship
setsumei,説明,explanation
keisatsu,警察,police
kiken,危険,danger risk
sekai,世界,the world society
sensou,戦争,war
shousetsu,小説,novel story
kankei,関係,relationship relation connection
kenkyuu,研究,research study
kaigi,会議,business meeting
oto,音,sound noise
futsuu,普通,commonly normal ordinary regular
mizuumi,湖,lake
yume,夢,dream
kuukou,空港,airport
suugaku,数学,math mathematics
kyouiku,教育,education schooling training
akachan,赤ちゃん,baby infant
jiyuu,自由,freedom liberty
hi,火,fire flame blaze
mori,森,forest
houritsu,法律,law
kibun,気分,feeling mood
kabe,壁,wall barrier obstacle
inaka,田舎,rural area countryside country
ki,気,spirit mind heart
dansei,男性,male man
jishin,地震,earthquake
jinkou,人口,population
kojou,故障,breakdown failure fault out of order
zannen,残念,too bad regrettable disappointing
shima,島,island
kyoukai,教会,church
rekishi,歴史,history
shakai,社会,society public
juusho,住所,address of house residence
koujou,工場,factory plant mill
shumi,趣味,hobby pastime
keizai,経済,economics economy
taifuu,台風,typhoon hurricane
sotsugyou,卒業,graduation completion
kumo,雲,cloud
hikari,光,light
okurimono,贈り物,present gift
kagaku,科学,science
seiji,政治,government politics
tokubetsu,特別,special particular extrodinary
suiei,水泳,swimming swim
kougi,講義,lecture
yubi,指,finger toe
seisan,生産,production manufacture
kaiwa,会話,conversation
kisetsu,季節,season
omocha,おもちゃ,toy plaything
honyaku,翻訳,written translation
boueki,貿易,foreign international trade
bungaku,文学,literature
ha,葉,leaf blade of glass
koutsuu,交通,traffic transport communication
asobi,遊び,playing play
dougu,道具,tool instrument
nyuugaku,入学,admission entry to school
senaka,背中,back
hatsuon,発音,pronunciation
yubiwa,指輪,ring
igaku,医学,medical science
manga,漫画,manga
kagami,鏡,mirror looking glass
denpou,電報,telegram telegraph
kouchou,校長,principal
kougai,郊外,suburb
shimin,市民,citizen civilian public
suna,砂,sand grit
tebukuro,手袋,glove gloves mitten
kime,絹,silk
nikki,日記,diary
bunpou,文法,grammar
ito,糸,thread yarn string
jinja,神社,shrine
shougakkou,小学校,elementary school
chuushajou,駐車場,parking lot garage
tenrankai,展覧会,exhibition
seiyou,西洋,the west western countries
saka,坂,slope incline hill
chuusha,注射,injection jab shot
norimono,乗り物,vehicle transport ride
ryokan,旅館,ryokan traditional inn
hayashi,林,wood woods forest grove thicket
futon,布団,futon
kaigishitsu,会議室,conference meeting room
juudou,柔道,judo
chuugakkou,中学校,middle school
kenkyuushitsu,研究室,laboratory lab
hanami,花見,watch flower blooming
koumuin,公務員,government worker
koutougakkou,高等学校,high school
jiten,辞典,dictionary lexicon
kokoro,心,heart mind spirit
chikara,力,power force strength
kenka,喧嘩,fight quarrel
tenkiyohou,天気予報,weather forecast
hige,髭,beard facial hair
oshiire,押し入れ,closet
miso,味噌,miso
kare,彼,he him boyfriend
kyaku,客,guest visitor
sofu,祖父,grandfather grandpa old man
koukou,高校,high school
kinjo,近所,neighborhood
bangumi,番組,broadcast program
kenbutsu,見物,sightseeing watching viewing sight see
amerika,アメリカ,america usa
kanojo,彼女,girlfriend
omou,思う,to think consider
boku,僕,i me
hitsuyou,必要,need needed necessary essential
mieru,見える,to be seen in sight
kangaeru,考える,to consider think about
tameni,ため,good advantage benefit sake purporse
hajimeru,始める,to begin to start
ukeru,受ける,to receive
utsukushii,美しい,beautiful pretty lovely
shiken,試験,test exam
shinsetsu,親切,kind nice gentle
shippai,失敗,failure mistake blunder
ijou,以上,more than not less than
iken,意見,opinion view comment
kesshite,決して,in no way not ever
juubun,十分,enough sufficient plenty
shiai,試合,game match
isshoukenmei,一生懸命,very hard with effort
ko,子,child
sagasu,探す,to look for search hunt
isogu,急ぐ,to hurry rush hasten
erabu,選ぶ,to choose select
okuru,送る,to send
kanarazu,必ず,have to
okoru,怒る,to get angry mad
saikin,最近,recently lately these days
harau,払う,to pay
au,合う,to come together to meet
ten,点,points dot spot mark
kimeru,決める,to decide choose determine
warau,笑う,to laugh smile
saisho,最初,at first beginning
hantai,反対,disagree
tsuma,妻,wife
musume,娘,daughter
yorokobu,喜ぶ,to be delighted glad pleased
riyuu,理由,reason motive
mukashi,昔,old time olden days
yakusoku,約束,promise agreement arragnement
omoidasu,思い出す,to recall to remember
tadashii,正しい,correct right
ochiru,落ちる,to fall down drop sink
basho,場所,place location
tanoshimu,楽しむ,to enjoy
riyou,利用,use application
maniau,間に合う,be in time
kondo,今度,near future shortly this time
yotei,予定,plan arrangement schedule
tazuneru,訪ねる,to visit call on
susumu,進む,to advance to go forward
akanbou,赤ん坊,baby infant
saigo,最後,final end conclusion last
mukau,向かう,to face to go towards head towards
kyoumi,興味,interest curiosity
tooru,通る,to go by past to run between
jidai,時代,time period generation
tochuu,途中,on the way en route
kimochi,気持ち,feeling sensation mood
henji,返事,reply answer response
kantan,簡単,easy simple
fukai,深い,deep profound
okosu,起こす,to raise wake
otto,夫,husband
ichido,一度,once one time on one occasion
baai,場合,case siutation
hakobu,運ぶ,to deliver carry transport
konya,今夜,this evening tonight
nusumu,盗む,to steal
shuukan,習慣,custom habit practice
taitei,たいてい,mostly usually generally probably
nokoru,残る,to remain be left
agaru,上がる,to rise go up
seki,席,seat
nedan,値段,price cost
shourai,将来,future
yasashii,優しい,kind easy plan simple
itasu,いたす,honorably do
nigeru,逃げる,to escape to run away
kuuki,空気,air
yakunitatsu,役に立つ,to be helpful useful
utae,答え,answer reply response
yoyaku,予約,reservation appointment booking
kikai,機会,chance opportunity
genin,原因,cause origin source
kaji,火事,fire
dorobou,泥棒,thief burglar robber
kami,髪,hair
kisoku,規則,rule regulation
okonau,行う,to perform to do
kawari,代わり,instead of substitute replacement
mitsukaru,見つかる,to be found discovered
utsu,打つ,to hit strike
kibishii,厳しい,strict severe rigid
fueru,増える,to increase
mukaeru,迎える,to go out to meet to receive accept
kowai,怖い,scary frightening
shachou,社長,president manager director
shoukai,紹介,introduction
atsumeru,集める,to gather collect assemble
hoshi,星,star planet
jimusho,事務所,office
tokuni,特に,in particular particularly especially
atsumaru,集まる,to gather collect assemble
kuraberu,比べる,to compare
muri,無理,impossible unreasonable
youi,用意,preparation arrangements getting ready laying out
otosu,落とす,to drop let fall
kowareru,壊れる,to be broken to break
guai,具合,condition state health
taoreru,倒れる,to fall collapse lose be defeated die
aji,味,flavor taste
anzen,安全,safety security
hen,変,strange weird odd
renraku,連絡,contact contacting communication
sobo,祖母,grandmother grandma
daiji,大事,important serious crucial
sagaru,下がる,to come down to fall drop hang
kimaru,決まる,to be decided settled fixed
kisha,汽車,long distance train steam train
tanoshimi,楽しみ,enjoyment pleasure looking forward to
tashika,確か,sure certain positive definite reliable
sumi,隅,corner nook
okashii,可笑しい,funny amusing comical strange weird
kyousou,競争,competition contest race
nyuuin,入院,hospitalization hospitalized
katachi,形,shape form figure
shikata,仕方,way method means
keshiki,景色,scenery scene landscape
rusu,留守,away from home absence
kubi,首,neck
kimi,君,you
inai,以内,within inside of less than
chi,血,blood
tatoeba,例えば,for example
wakareru,別れる,to part from to separate break up
tana,棚,shelf ledge rack
moushiageru,申し上げる,to say tell do humbly
hikkosu,引っ越す,to move
fukuzatsu,複雑,complicated complex intricate
shinamono,品物,goods article thing
gijutsu,技術,technology skill
gozonji,ご存じ,knowing
kusa,草,grass weed herb
ika,以下,at most not exceeding
ryouhou,両方,both
bai,倍,times a quantity
anshin,安心,relief peace of mind
minato,港,harbor port
daitai,だいたい,main points gist generally mostly
sen,線,line stripe
sageru,下げる,to hang suspend wear
mushi,虫,insect bug
kotori,小鳥,small little bird
koukousei,高校生,high school student
norikaeru,乗り換える,to transfer trains change bus
eda,枝,branch bough limb twig stick
tera,寺,temple
kaeri,帰り,return coming back
owari,終わり,the end
kimono,着物,kimono
kayou,通う,to go regularly frequent
tenin,店員,employee shope assistant clerk
sawagu,騒ぐ,to make noise
yawarakai,柔らかい,soft tender pliant
fumu,踏む,to step on
teinei,丁寧,polite courteous civil
ura,裏,opposite side bottom behind
hieru,冷える,to grow cold to get chilly cool down
mannaka,真ん中,middle center midpoint heart
omote,表(surface),surface face front
kazaru,飾る,to decorate
enryo,遠慮,reserve hesitation refraining holding back
tsugou,都合,circumstances condition conveinence
kureru,暮れる,to get grow dark to end
buchou,部長,head of section or department manager
hiruma,昼間,daytime during the day
kyuu,急,sudden abrupt unexpected
hikidashi,引き出し,drawer withdrawal
kaijou,会場,event site venue meeting place
odori,踊り,dance
kyuukou,急行,hurrying rushing hastening
mataha,または,or either
chiri,地理,geography
dentou,電灯,electric light
komakai,細かい,small fine minute minor trivial
tekitou,適当,suitable proper appropriate
kachou,課長,section manager
sakan,盛ん,prosperous flourishing thriving succesful popular
hikidasu,引き出す,to pull out withdraw money
wariai,割合,proportion rate
danbou,暖房,indoor heating
mousu,申す,honorably say
uriba,売り場,sales selling area counter section department
taiin,退院,leaving hospital discharge
fuben,不便,inconvenience
geshuku,下宿,boarding lodging
uketsuke,受付,reception information desk
shinbunsha,新聞社,newspaper company
shokuryouhin,食料品,groceries foodstuff
nigai,苦い,bitter
koudou,講堂,auditorium lecture hall
yu,湯,hot water
utsusu,写す,to transcribe duplicate reproduce imitate
okujou,屋上,roof rooftop
kougyou,工業,industry manufacturing
shitagi,下着,underwear
reibou,冷房,air conditioning
tatami,畳,tatami mat
wakasu,沸かす,to boil heat
ojousan,お嬢さん,daughter young lady
ukeru,漬ける,to soak steep dip dunk
tokkyuu,特急,limited express train
kureru,くれる,to give let one have
sugiru,過ぎる,to pass by to exceed surpass
tsumori,つもり,intention plan purpose
yameru tomeru,止める,to stop to turn off prevent
hidoi,酷い,cruel heartless severe disgusting ugly
okureru,遅れる,to be late delayed fall behind schedule
tsuzukeru,続ける,to continue keep on
tetsudau,手伝う,to help assist aid
mitsukeru,見つける,to discover find detect locate
odoroku,驚く,to be surprised astonished
nemuru,眠る,to sleep die close ones eyes
katsu,勝つ,to win gain victory
kikoeru,聞こえる,to be audible heard
tazuneru,尋ねる,to ask inquire investigate
nareru,慣れる,to be used to accustomed familiar with
naku,泣く,to cry weep sob
kitto,きっと,surely almost certainly
niru,似る,to resemble to look like
modoru,戻る,to go back return
shiraberu,調べる,to look into examine
tsutaeru,伝える,to convey report
hazu,筈,should be bound to be must be
nakunaru,なくなる,to be lost missing disappear
ugoku,動く,to move stir shift
shiraseru,知らせる,to notify advise inform
tsuzuku,続く,to continue go on
betsu,別,distinction difference separate exception
